ofac_id,uk_id,explanation
10569,11903,ofac_id: 10569 has a jaccard distance of 0.2142857142857143 with uk_id: 11903 from the name column
10612,9157,ofac_id: 10612 has a jaccard distance of 0.0 with uk_id: 9157 from the name column
10725,11913,ofac_id: 10725 has a jaccard distance of 0.23076923076923073 with uk_id: 11913 from the name column
10727,11051,ofac_id: 10727 has a jaccard distance of 0.1428571428571429 with uk_id: 11051 from the name column
10728,11050,ofac_id: 10728 has a jaccard distance of 0.1333333333333333 with uk_id: 11050 from the name column
10761,11090,ofac_id: 10761 has a jaccard distance of 0.11111111111111116 with uk_id: 11090 from the name column
10848,10661,ofac_id: 10848 has a jaccard distance of 0.0 with uk_id: 10661 from the name column
10849,10665,ofac_id: 10849 has a jaccard distance of 0.0 with uk_id: 10665 from the name column
10850,10666,ofac_id: 10850 has a jaccard distance of 0.0 with uk_id: 10666 from the name column
10851,10663,ofac_id: 10851 has a jaccard distance of 0.12121212121212122 with uk_id: 10663 from the name column
10852,10668,ofac_id: 10852 has a jaccard distance of 0.0 with uk_id: 10668 from the name column
10853,10667,ofac_id: 10853 has a jaccard distance of 0.23076923076923073 with uk_id: 10667 from the name column
10854,10662,ofac_id: 10854 has a jaccard distance of 0.0 with uk_id: 10662 from the name column
10858,11153,ofac_id: 10858 has a jaccard distance of 0.0 with uk_id: 11153 from the name column
10860,9006,ofac_id: 10860 has a jaccard distance of 0.0 with uk_id: 9006 from the name column
10862,9034,ofac_id: 10862 has a jaccard distance of 0.15909090909090906 with uk_id: 9034 from the name column
10863,8990,ofac_id: 10863 has a jaccard distance of 0.1428571428571429 with uk_id: 8990 from the name column
10887,9038,ofac_id: 10887 has a jaccard distance of 0.040000000000000036 with uk_id: 9038 from the name column
10890,12153,ofac_id: 10890 has a jaccard distance of 0.125 with uk_id: 12153 from the name column
10923,7210,ofac_id: 10923 has a jaccard distance of 0.03125 with uk_id: 7210 from the name column
10928,10669,ofac_id: 10928 has a jaccard distance of 0.24137931034482762 with uk_id: 10669 from the name column
